,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA
PIB-FRB-18,9-Feb-23,9-Feb-26,Quarterly,99.97,0,99.95,99.93,99.93,99.95,99.97,99.89,,99.95
PIB-FRB-19,6-Apr-23,6-Apr-28,Half-Yearly,99.11,0,99.31,99.32,99.22,99.24,99.2,99.21,,99.24
PIB-FRB-20,10-Aug-23,10-Aug-28,Half-Yearly,98.88,0,98.91,98.88,98.88,98.88,99.03,99.01,,98.91
PIB-FRB-21,21-Sep-23,21-Sep-25,Quarterly,99.99,0,99.98,99.96,99.96,99.94,99.96,99.99,,99.97
PIB-FRB-22,21-Sep-23,21-Sep-26,Quarterly,99.41,0,99.84,99.84,99.89,99.79,99.8,99.69,,99.79
PIB-FRB-23,21-Sep-23,21-Sep-28,Half-Yearly,98.79,0,99,98.69,98.85,98.85,99.01,98.98,,98.89
PIB-FRB-24,19-Oct-23,19-Oct-26,Quarterly,99.31,0,99.75,99.67,99.72,99.67,99.75,99.6,,99.68
PIB-FRB-25,19-Oct-23,19-Oct-28,Half-Yearly,98.83,0,99.15,99.07,99.13,99.03,99.13,99.08,,99.09
PIB-FRB-26,14-Dec-23,14-Dec-28,Half-Yearly,98.63,0,98.89,98.74,98.89,98.84,98.89,98.75,,98.82
PIB-FRB-27,14-Dec-23,14-Dec-33,Half-Yearly,95.7,0,96.14,96.15,96.15,96.15,96.15,96.19,,96.15
PIB-FRB-28,7-Feb-24,7-Feb-29,Half-Yearly,98.59,0,98.92,98.73,98.73,98.76,98.92,98.67,,98.76
PIB-FRB-29,7-Feb-24,7-Feb-34,Half-Yearly,95.63,0,96.1,95.84,95.99,95.99,95.99,96.09,,95.98
PIB-FRB-30,18-Apr-24,18-Apr-29,Half-Yearly,98.68,0,98.95,98.96,98.91,98.83,98.74,98.81,,98.85
PIB-FRB-31,18-Apr-24,18-Apr-34,Half-Yearly,95.85,0,96.1,96.09,96.09,96.05,96.1,95.91,,96.05
PIB-FRB-32,27-Jun-24,27-Jun-29,Half-Yearly,98.6,0,98.75,98.59,98.75,98.72,98.75,98.69,,98.7
PIB-FRB-33,5-Sep-24,5-Sep-29,Half-Yearly,98.6,0,98.68,98.56,98.76,98.63,98.7,98.69,,98.66
PIB-FRB-34,5-Sep-24,5-Sep-34,Half-Yearly,95.74,0,95.98,95.68,95.98,95.88,96,95.94,,95.9
PIB-FRB-35,3-Oct-24,3-Oct-26,Half-Yearly,99.78,0,99.82,99.87,99.8,99.8,99.88,99.78,,99.81
PIB-FRB-36,3-Oct-24,3-Oct-29,Half-Yearly,98.56,0,98.8,98.61,98.71,98.65,98.65,98.71,,98.67
PIB-FRB-37,3-Oct-24,3-Oct-34,Half-Yearly,95.7,0,95.94,95.79,95.95,95.9,96.01,95.94,,95.9
PIB-FRB-38,7-Feb-24,7-Feb-27,Quarterly,99.34,0,99.66,99.62,99.4,99.47,99.54,98.8,,99.47
PIB-FRB-39,14-Nov-24,14-Nov-29,Half-Yearly,98.84,0,98.83,98.83,98.68,98.77,98.58,98.74,,98.77
PIB-FRB-40,14-Nov-24,14-Nov-34,Half-Yearly,96.22,0,95.95,95.78,96.21,95.96,95.95,95.94,,96
PIB-FRB-41,12-Dec-24,12-Dec-29,Half-Yearly,98.51,0,98.8,98.64,98.64,98.64,98.48,98.74,,98.63
PIB-FRB-42,12-Dec-24,12-Dec-34,Half-Yearly,95.82,0,95.81,95.81,95.8,95.81,95.81,95.79,,95.81
PIB-FRB-43,9-Jan-25,9-Jan-27,Half-Yearly,99.72,0,99.85,99.98,99.8,99.85,99.79,100,,99.85
PIB-FRB-44,9-Jan-25,9-Jan-30,Half-Yearly,98.49,0,98.62,98.62,98.55,98.52,98.49,98.62,,98.56
PIB-FRB-45,9-Jan-25,9-Jan-35,Half-Yearly,95.49,0,95.76,95.76,95.76,95.71,95.76,95.48,,95.7
PIB-FRB-46,17-Apr-25,17-Apr-30,Half-Yearly,98.42,0,98.69,98.75,98.58,98.56,98.52,98.58,,98.59
PIB-FRB-47,17-Apr-25,17-Apr-35,Half-Yearly,95.6,0,95.85,95.67,95.96,95.81,95.86,95.85,,95.81
PIB-FRB-48,29-May-25,29-May-35,Half-Yearly,95.44,0,95.71,95.77,95.71,95.71,95.72,95.71,,95.71
PIB-FRB-49,10-Jul-25,10-Jul-35,Half-Yearly,95.64,0,95.75,95.75,95.75,95.7,95.64,95.73,,95.71
