,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA
PIB-FRB-34,5-Sep-24,5-Sep-34,Half-Yearly,95.15,0,95.3,95.63,95.4,95.41,95.51,95.34,,95.39
PIB-FRB-35,3-Oct-24,3-Oct-26,Half-Yearly,99.74,0,99.68,99.87,99.75,99.78,99.85,99.78,,99.78
PIB-FRB-36,3-Oct-24,3-Oct-29,Half-Yearly,98.35,0,98.33,97.68,98.34,98.22,98.03,98.33,,98.25
PIB-FRB-37,3-Oct-24,3-Oct-34,Half-Yearly,95.13,0,95.22,95.62,95.37,95.38,95.49,95.32,,95.36
PIB-FRB-38,7-Feb-24,7-Feb-27,Quarterly,99.29,0,99.55,99.62,99.25,99.27,99.55,98.8,,99.38
PIB-FRB-39,14-Nov-24,14-Nov-29,Half-Yearly,98.33,0,98.32,98.65,98.32,98.32,98.16,98.16,,98.29
PIB-FRB-40,14-Nov-24,14-Nov-34,Half-Yearly,95.15,0,95.15,95.93,95.66,95.46,95.56,95.66,,95.5
PIB-FRB-41,12-Dec-24,12-Dec-29,Half-Yearly,98.29,0,98.28,97.96,98.12,98.19,98.12,98.28,,98.2
PIB-FRB-42,12-Dec-24,12-Dec-34,Half-Yearly,95.1,0,94.72,95.78,95.09,95.14,95.15,95.41,,95.18
PIB-FRB-43,9-Jan-25,9-Jan-27,Half-Yearly,99.73,0,99.72,100,99.8,99.84,99.79,100,,99.83
PIB-FRB-44,9-Jan-25,9-Jan-30,Half-Yearly,98.28,0,98.3,97.91,98.18,98.11,97.9,97.96,,98.09
PIB-FRB-45,9-Jan-25,9-Jan-35,Half-Yearly,95.21,0,95.24,95.86,95.36,95.26,95.21,95.21,,95.26
PIB-FRB-46,17-Apr-25,17-Apr-30,Half-Yearly,98.2,0,98.19,98.18,98.2,98.2,97.85,98.19,,98.19
PIB-FRB-47,17-Apr-25,17-Apr-35,Half-Yearly,95.45,0,95.28,95.55,95.55,95.45,95.29,95.22,,95.4
PIB-FRB-48,29-May-25,29-May-35,Half-Yearly,95.37,0,95.03,95.15,95.31,95.15,95.09,95.19,,95.18
PIB-FRB-49,10-Jul-25,10-Jul-35,Half-Yearly,94.8,0,94.57,94.85,94.8,94.63,94.63,94.62,,94.7
