,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA
PIB-FRB-31,18-Apr-24,18-Apr-34,Half-Yearly,96.07,0,96.32,95.91,95.91,96.07,95.71,0,,95.99
PIB-FRB-32,27-Jun-24,27-Jun-29,Half-Yearly,98.43,0,98.74,98.59,98.74,98.74,98.43,0,,98.63
PIB-FRB-33,5-Sep-24,5-Sep-29,Half-Yearly,98.39,0,98.64,98.38,98.55,98.52,98.39,0,,98.46
PIB-FRB-34,5-Sep-24,5-Sep-34,Half-Yearly,95.42,0,96.05,95.68,95.68,95.73,95.52,0,,95.65
PIB-FRB-35,3-Oct-24,3-Oct-26,Half-Yearly,99.75,0,99.85,99.87,99.75,99.8,99.85,0,,99.81
PIB-FRB-36,3-Oct-24,3-Oct-29,Half-Yearly,98.36,0,98.68,98.52,98.68,98.68,98.35,0,,98.56
PIB-FRB-37,3-Oct-24,3-Oct-34,Half-Yearly,95.4,0,96.02,95.66,95.66,95.66,95.5,0,,95.62
PIB-FRB-38,7-Feb-24,7-Feb-27,Quarterly,99.32,0,99.65,99.62,99.44,99.52,99.55,0,,99.53
PIB-FRB-39,14-Nov-24,14-Nov-29,Half-Yearly,98.43,0,98.69,98.59,98.65,98.56,98.49,0,,98.57
PIB-FRB-40,14-Nov-24,14-Nov-34,Half-Yearly,95.41,0,96.19,95.78,95.93,95.67,95.57,0,,95.74
PIB-FRB-41,12-Dec-24,12-Dec-29,Half-Yearly,98.29,0,98.66,98.13,98.63,98.29,98.23,0,,98.36
PIB-FRB-42,12-Dec-24,12-Dec-34,Half-Yearly,95.1,0,96.07,95.52,95.79,95.63,95.36,0,,95.58
PIB-FRB-43,9-Jan-25,9-Jan-27,Half-Yearly,99.73,0,99.79,100,99.73,99.86,99.79,0,,99.79
PIB-FRB-44,9-Jan-25,9-Jan-30,Half-Yearly,98.28,0,98.45,98.28,98.62,98.28,98.14,0,,98.32
PIB-FRB-45,9-Jan-25,9-Jan-35,Half-Yearly,95.21,0,96.03,95.48,95.48,95.48,95.21,0,,95.41
PIB-FRB-46,17-Apr-25,17-Apr-30,Half-Yearly,98.21,0,98.38,98.18,98.38,98.31,98.07,0,,98.27
PIB-FRB-47,17-Apr-25,17-Apr-35,Half-Yearly,95.67,0,96.1,95.67,95.67,95.67,95.19,0,,95.67
PIB-FRB-48,29-May-25,29-May-35,Half-Yearly,95.42,0,95.98,95.42,95.31,95.42,95.09,0,,95.39
PIB-FRB-49,10-Jul-25,10-Jul-35,Half-Yearly,95.07,0,95.75,95.35,95.35,95.35,94.91,0,,95.28
