,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA
PIB-FRB-23,21-Sep-23,21-Sep-28,Half-Yearly,98.65,0,98.12,98.51,98.52,98.52,98.62,98.51,,98.54
PIB-FRB-24,19-Oct-23,19-Oct-26,Quarterly,99.2,0,99.25,99.67,99.6,99.56,99.69,99.6,,99.54
PIB-FRB-25,19-Oct-23,19-Oct-28,Half-Yearly,98.63,0,98.36,98.63,98.61,98.5,98.58,98.62,,98.59
PIB-FRB-26,14-Dec-23,14-Dec-28,Half-Yearly,98.59,0,98.18,98.17,98.17,98.26,98.54,98.31,,98.29
PIB-FRB-27,14-Dec-23,14-Dec-33,Half-Yearly,95.36,0,94.75,95.64,95.01,95.42,95.67,95.51,,95.39
PIB-FRB-28,7-Feb-24,7-Feb-29,Half-Yearly,98.53,0,97.95,98.24,98.1,98.18,98.38,98.38,,98.26
PIB-FRB-29,7-Feb-24,7-Feb-34,Half-Yearly,95.41,0,94.75,95.75,95.26,95.46,95.77,95.5,,95.48
PIB-FRB-30,18-Apr-24,18-Apr-29,Half-Yearly,98.47,0,98.18,98.47,98.18,98.18,98.38,98.32,,98.31
PIB-FRB-31,18-Apr-24,18-Apr-34,Half-Yearly,95.54,0,95.28,96.04,95.54,97.39,95.79,95.53,,95.69
PIB-FRB-32,27-Jun-24,27-Jun-29,Half-Yearly,98.35,0,97.83,98.07,97.9,97.84,97.9,98.13,,97.97
PIB-FRB-33,5-Sep-24,5-Sep-29,Half-Yearly,98.35,0,97.93,98.03,97.87,97.81,98.28,98.34,,98.09
PIB-FRB-34,5-Sep-24,5-Sep-34,Half-Yearly,95.12,0,95.27,95.63,95.12,95.38,95.43,95.37,,95.31
PIB-FRB-35,3-Oct-24,3-Oct-26,Half-Yearly,99.73,0,99.6,99.87,99.75,99.78,99.84,99.78,,99.78
PIB-FRB-36,3-Oct-24,3-Oct-29,Half-Yearly,98.32,0,97.84,89,97.84,97.84,98,98.32,,97.97
PIB-FRB-37,3-Oct-24,3-Oct-34,Half-Yearly,95.1,0,95.1,95.62,95.1,95.36,95.63,95.35,,95.31
PIB-FRB-38,7-Feb-24,7-Feb-27,Quarterly,99.24,0,99,99.62,99.25,99.19,99.52,98.8,,99.24
PIB-FRB-39,14-Nov-24,14-Nov-29,Half-Yearly,98.32,0,97.82,98.48,98.15,97.99,98.15,97.92,,98.11
PIB-FRB-40,14-Nov-24,14-Nov-34,Half-Yearly,95.14,0,95.3,95.93,95.66,95.4,95.61,95.55,,95.5
PIB-FRB-41,12-Dec-24,12-Dec-29,Half-Yearly,98.29,0,97.64,97.78,97.78,97.78,97.85,97.94,,97.83
PIB-FRB-42,12-Dec-24,12-Dec-34,Half-Yearly,95.09,0,94.82,95.78,94.71,95.26,94.98,95.28,,95.09
PIB-FRB-43,9-Jan-25,9-Jan-27,Half-Yearly,99.71,0,99.43,99.96,99.8,99.84,99.98,100,,99.86
PIB-FRB-44,9-Jan-25,9-Jan-30,Half-Yearly,98.28,0,97.7,97.91,97.94,97.94,97.84,98.1,,97.95
PIB-FRB-45,9-Jan-25,9-Jan-35,Half-Yearly,95.36,0,95.09,95.86,95.36,95.36,95.57,95.34,,95.4
PIB-FRB-46,17-Apr-25,17-Apr-30,Half-Yearly,98.18,0,97.76,98.18,97.83,98.01,97.83,98.11,,97.99
PIB-FRB-47,17-Apr-25,17-Apr-35,Half-Yearly,95.43,0,95.11,95.54,95.27,95.27,95.22,95.27,,95.29
PIB-FRB-48,29-May-25,29-May-35,Half-Yearly,95.14,0,95.09,95.31,95.14,95.14,95.25,95.19,,95.17
