,Issue Date,Maturity date,Coupon Frequency,AHL,ALFA,BMA,C&M,CEL,CMKA,ICON,IONE,,FMA
PIB-FRB-27,14-Dec-23,14-Dec-33,Half-Yearly,95.37,0,95.78,95.57,95.27,95.62,95.62,95.57,,95.55
PIB-FRB-28,7-Feb-24,7-Feb-29,Half-Yearly,98.58,0,98.58,97.96,98.42,98.44,98.58,98.4,,98.48
PIB-FRB-29,7-Feb-24,7-Feb-34,Half-Yearly,95.47,0,95.82,95.75,95.53,95.57,95.72,95.53,,95.62
PIB-FRB-30,18-Apr-24,18-Apr-29,Half-Yearly,98.5,0,98.49,98.44,98.49,98.5,98.64,98.62,,98.52
PIB-FRB-31,18-Apr-24,18-Apr-34,Half-Yearly,95.56,0,95.91,95.56,95.91,95.71,95.71,95.7,,95.72
PIB-FRB-32,27-Jun-24,27-Jun-29,Half-Yearly,98.43,0,98.43,98.43,98.37,98.43,98.43,98.42,,98.43
PIB-FRB-33,5-Sep-24,5-Sep-29,Half-Yearly,98.39,0,98.38,98.38,98.37,98.39,98.39,98.35,,98.38
PIB-FRB-34,5-Sep-24,5-Sep-34,Half-Yearly,95.16,0,95.57,95.63,95.4,95.42,95.52,95.34,,95.45
PIB-FRB-35,3-Oct-24,3-Oct-26,Half-Yearly,99.74,0,99.69,99.87,99.75,99.8,99.85,99.78,,99.78
PIB-FRB-36,3-Oct-24,3-Oct-29,Half-Yearly,98.35,0,98.35,98.26,98.29,98.32,98.35,98.33,,98.33
PIB-FRB-37,3-Oct-24,3-Oct-34,Half-Yearly,95.13,0,95.55,95.39,95.37,95.39,95.5,95.32,,95.39
PIB-FRB-38,7-Feb-24,7-Feb-27,Quarterly,99.31,0,99.44,99.62,99.44,99.48,99.55,98.8,,99.44
PIB-FRB-39,14-Nov-24,14-Nov-29,Half-Yearly,98.43,0,98.33,98.49,98.43,98.43,98.49,98.49,,98.45
PIB-FRB-40,14-Nov-24,14-Nov-34,Half-Yearly,95.15,0,95.57,95.41,95.66,95.57,95.57,95.66,,95.56
PIB-FRB-41,12-Dec-24,12-Dec-29,Half-Yearly,98.29,0,98.29,98.13,98.22,98.19,98.23,98.28,,98.24
PIB-FRB-42,12-Dec-24,12-Dec-34,Half-Yearly,95.1,0,95.42,95.36,95.09,95.25,95.36,95.41,,95.3
PIB-FRB-43,9-Jan-25,9-Jan-27,Half-Yearly,99.73,0,99.59,100,99.73,99.86,99.79,100,,99.82
PIB-FRB-44,9-Jan-25,9-Jan-30,Half-Yearly,98.28,0,98.27,98.11,98.18,98.11,98.14,97.96,,98.16
PIB-FRB-45,9-Jan-25,9-Jan-35,Half-Yearly,95.21,0,95.21,95.32,95.36,95.26,95.21,95.21,,95.24
PIB-FRB-46,17-Apr-25,17-Apr-30,Half-Yearly,98.21,0,98.2,98.18,98.2,98.2,98.07,98.19,,98.19
PIB-FRB-47,17-Apr-25,17-Apr-35,Half-Yearly,95.45,0,95.56,95.13,95.55,95.29,95.19,95.22,,95.34
PIB-FRB-48,29-May-25,29-May-35,Half-Yearly,95.37,0,95.31,95.09,95.04,95.09,95.09,95.19,,95.15
PIB-FRB-49,10-Jul-25,10-Jul-35,Half-Yearly,94.8,0,95.24,95.07,95.07,95.07,94.91,94.62,,94.98
