GOPIS-FRR,4-Dec-26, 100.40 , 99.90 , 100.20 , 100.05 , -   , 100.10 , 100.10 , 100.20 , 100.13 
GOPIS-FRR,15-Dec-26, 85.00 , 88.00 , 87.00 , 87.00 , -   , 88.00 , 87.00 , 87.00 , 87.20 
GOPIS-VRR,27-Apr-27, 101.50 , 100.50 , 100.80 , 100.80 , -   , 99.90 , 100.00 , 100.80 , 100.58 
GOPIS-FRR,27-Apr-27, 87.00 , 89.00 , 88.50 , 89.00 , -   , 89.20 , 88.50 , 89.00 , 88.80 
GOPIS-VRR,26-Oct-27, 100.25 , 100.20 , 100.50 , 100.30 , -   , 99.87 , 100.00 , 100.25 , 100.20 
GOPIS-FRR,16-Nov-27, 87.50 , 88.00 , 89.00 , 89.00 , -   , 89.00 , 89.00 , 89.00 , 88.80 
GOPIS-VRR,26-Jun-28, 103.55 , 103.00 , 102.90 , 102.90 , -   , 102.75 , 102.00 , 103.00 , 102.91 
GOPIS-FRR,20-Sep-28, 101.75 , 101.75 , 101.75 , 101.75 , -   , 101.50 , 101.70 , 101.70 , 101.73 
GOPIS-VRR,4-Dec-28, 100.00 , 100.00 , 100.00 , 100.00 , -   , 100.00 , 99.90 , 100.00 , 100.00 
GOPIS-FRR,4-Dec-28, 100.60 , 100.40 , 100.50 , 100.50 , -   , 100.50 , 100.50 , 100.50 , 100.50 
