GOPIS-FRR,17-Apr-26, -   , 100.50 , 100.50 , 100.50 , 100.50 , -   , 100.50 , 100.50 , 100.50 
GOPIS-FRR,26-Jun-26, -   , 102.75 , 103.00 , 103.00 , 103.00 , -   , 103.00 , 103.00 , 102.96 
GOPIS-VRR,12-Jul-26, -   , 100.25 , 100.00 , 100.00 , 100.00 , -   , 100.00 , 100.00 , 100.04 
GOPIS-VRR,6-Oct-26, -   , 101.00 , 101.00 , 101.00 , 101.00 , -   , 101.00 , 101.00 , 101.00 
GOPIS-FRR,6-Oct-26, -   , 84.00 , 84.50 , 84.00 , 84.00 , -   , 84.00 , 84.50 , 84.17 
GOPIS-VRR,29-Oct-26, -   , 101.20 , 101.50 , 101.50 , 101.50 , -   , 101.50 , 101.50 , 101.45 
GOPIS-VRR,4-Dec-26, -   , 99.90 , 100.00 , 100.00 , 99.95 , -   , 100.00 , 100.00 , 99.98 
GOPIS-FRR,4-Dec-26, -   , 100.10 , 100.31 , 100.30 , 100.30 , -   , 100.30 , 100.40 , 100.29 
GOPIS-FRR,15-Dec-26, -   , 87.00 , 87.00 , 87.00 , 87.00 , -   , 87.00 , 87.00 , 87.00 
GOPIS-VRR,27-Apr-27, -   , 101.50 , 101.50 , 101.50 , 101.50 , -   , 101.50 , 101.50 , 101.50 
GOPIS-FRR,27-Apr-27, -   , 87.00 , 88.89 , 89.00 , 88.00 , -   , 89.00 , 89.00 , 88.48 
GOPIS-VRR,26-Oct-27, -   , 101.25 , 101.80 , 101.75 , 101.80 , -   , 101.75 , 101.80 , 101.69 
GOPIS-FRR,16-Nov-27, -   , 88.00 , 89.00 , 88.50 , 89.00 , -   , 89.00 , 89.00 , 88.75 
GOPIS-VRR,26-Jun-28, -   , 102.50 , 103.40 , 103.25 , 103.25 , -   , 103.25 , 103.50 , 103.19 
GOPIS-FRR,20-Sep-28, -   , 100.75 , 101.80 , 101.75 , 101.80 , -   , 101.75 , 101.80 , 101.61 
GOPIS-VRR,4-Dec-28, -   , 100.05 , 100.10 , 100.10 , 100.05 , -   , 100.10 , 100.10 , 100.08 
GOPIS-FRR,4-Dec-28, -   , 100.50 , 100.50 , 100.50 , 100.50 , -   , 100.50 , 100.50 , 100.50 
